Item,Platform,Status,Asset,Title_or_Caption,Link,Target_Board_or_Surface,Published_URL,Published_Date,Clicks,Views,Comments,Notes
Pin 1,Pinterest,Published,/tmp/wishees-pinterest-assets/wishees-birthday-wishlist-pin.png,Birthday wishlist ideas made simple,https://www.wishees.com/?lang=en,Birthday Wishlist Ideas,https://de.pinterest.com/pin/1082834304184118244/,2026-06-22,,,,Already published before this tracker was created; live pin may still contain original non-English homepage URL.
Pin 2,Pinterest,Published,marketing/wishees-pin-assets/wishees-pin-wedding-registry-supplement.png,Wedding wishlist ideas beyond the registry,https://www.wishees.com/?lang=en,Wedding Gift Ideas,https://de.pinterest.com/pin/1082834304184160094,2026-06-22,,,,"User reported publishing this pin on 2026-06-22 after Chrome automation filled the editor/upload path. Live URL captured from user."
Pin 3,Pinterest,Published,marketing/wishees-pin-assets/wishees-photo-pin-baby-shower.png,Baby shower wishlist made easy,https://www.wishees.com/?lang=en,Gifts for Kids,https://de.pinterest.com/pin/1082834304184166760/,2026-06-23,0,0,0,"Published as the photo-led baby-shower variant, replacing the older staged graphic. Pinterest live page verifies AI modified badge, destination link, board Gifts for Kids, title, and description. Immediate post-publish stats showed 0 and dashes for real-time estimates."
Pin 4,Pinterest,Ready,marketing/wishees-pin-assets/wishees-pin-kids-birthday-wishlist.png,Kids birthday wishlist ideas parents can share,https://www.wishees.com/?lang=en,Birthday Wishlist Ideas or Gifts for Kids,,,,,,Use after baby shower pin.
Pin 5,Pinterest,Ready after Pin 6,marketing/wishees-pin-assets/wishees-pin-creator-wishlist-layer.png,A wishlist layer for gift guide creators,https://www.wishees.com/affiliate/program?lang=en,Creator Wishlist Inspiration,,,,,,Creator credibility support for outreach; publish after one more broad gift-moment pin.
Pin 6,Pinterest,Next manual publish candidate - in-app builder blocked,marketing/wishees-pin-assets/wishees-pin-grandparent-gift-coordination.png,Gift ideas grandparents can actually use,https://www.wishees.com/?lang=en,Birthday Wishlist Ideas or Family Gift Ideas,,,,,,Next Pinterest action. Use this giver-side family coordination angle before Pin 5 creator/affiliate education. In-app browser attempt on 2026-06-23 opened /pin-builder/ but DOM stayed empty and screenshot capture timed out; use Chrome/manual Pinterest upload.
Pin 7,Pinterest,Ready future pin,marketing/wishees-pin-assets/wishees-pin-birthday-invite-wishlist.png,Add a wishlist link to birthday invites,https://www.wishees.com/?lang=en,Birthday Wishlist Ideas,,,,,,Use after kids birthday content to connect Wishees to party planning.
Pin 8,Pinterest,Ready future pin,marketing/wishees-pin-assets/wishees-pin-class-gift-list.png,Class gifts without the group chat mess,https://www.wishees.com/?lang=en,Family Gift Ideas or Teacher Gift Ideas,,,,,,Use for parent organizer and class gift coordination content.
Short 1,YouTube,Published,marketing/wishees-upload-ready/wishees-tiktok-birthday-wishlist-2026-06-22.mp4,Stop guessing birthday gifts,https://www.wishees.com/?lang=en,YouTube Shorts,https://youtube.com/shorts/pykkekN6fZs,2026-06-22,,16,0,"1080x1920 MP4 verified. Uploaded through Chrome YouTube Studio, title and description set, audience marked not made for kids, checks complete with no issues found, published public. Share URL shown by Studio: https://youtube.com/shorts/pykkekN6fZs?feature=share. First measurement showed 7 views and 0 comments; latest YouTube Studio Shorts list shows 16 views and 0 comments."
Short 2,YouTube,Published - corrected audio,marketing/wishees-upload-ready/wishees-photo-short-wedding-registry-romantic-audio-2026-06-23.mp4,A simple wishlist next to your registry,https://www.wishees.com/?lang=en,YouTube Shorts,https://youtube.com/shorts/bwNPQzPIYZc,2026-06-23,,2,0,"Corrected romantic-audio replacement is now the canonical public Short. Original bad-audio upload remains public at https://youtube.com/shorts/a7ahBbInb7k with 6 Studio views; attempted to unlist it in YouTube Studio, but Studio dropdown/visibility controls resisted automation in this session. Manual remaining action: set old Short a7ahBbInb7k to Unlisted."
Short 3,YouTube,Preferred photo-led replacement ready - manual upload needed,marketing/wishees-upload-ready/wishees-photo-short-creator-wishlist-layer-2026-06-23.mp4,Gift guide readers need wishlists too,https://www.wishees.com/affiliate/program?lang=en,YouTube Shorts,,,,,,"1080x1920 8s MP4 with AAC romantic soft gift audio. Replaces the older graphic-style creator wishlist layer asset. Chrome YouTube Studio upload dialog opened on 2026-06-23 and exposed Select files plus input type=file, but macOS file picker path entry and browser-side File/DataTransfer injection both left the file input at zero files. Manual upload remains needed. Description should say: Gift guide creators can use Wishees as a shareable wishlist layer for readers. It works alongside storefronts and affiliate links; creator marketplace tags stay theirs where supported: https://www.wishees.com/affiliate/program?lang=en"
Short 4,YouTube,Upload-ready future short,marketing/wishees-upload-ready/wishees-short-grandparent-gift-coordination-2026-06-22.mp4,Gift ideas grandparents can actually use,https://www.wishees.com/?lang=en,YouTube Shorts,,,,,,Use after the wedding and creator shorts when we want a family giver-side angle.
Short 5,YouTube,Upload-ready future short,marketing/wishees-upload-ready/wishees-short-birthday-invite-wishlist-2026-06-22.mp4,Add a wishlist link to birthday invites,https://www.wishees.com/?lang=en,YouTube Shorts,,,,,,Use for birthday party planning content.
Short 6,YouTube,Upload-ready future short,marketing/wishees-upload-ready/wishees-short-class-gift-list-2026-06-22.mp4,Class gifts without the group chat mess,https://www.wishees.com/?lang=en,YouTube Shorts,,,,,,Use for parent organizer and teacher gift content.
Photo Short A,YouTube/TikTok,Preferred replacement ready,marketing/wishees-upload-ready/wishees-photo-short-birthday-cake-2026-06-22.mp4,Birthday gifts without guessing,https://www.wishees.com/?lang=en,YouTube Shorts or TikTok,,,,,,"Photo-led replacement for old birthday video style. 1080x1920, 8s, H.264 video with AAC generated music/audio bed."
Photo Short B,YouTube/TikTok,Preferred replacement ready,marketing/wishees-upload-ready/wishees-photo-short-baby-shower-2026-06-22.mp4,Baby shower wishlist made easy,https://www.wishees.com/?lang=en,YouTube Shorts or TikTok,,,,,,"Photo-led replacement for baby shower video. 1080x1920, 8s, H.264 video with AAC generated music/audio bed."
