Measurement_Date,Trigger,Social_Posts_Published,Outreach_Sent,Replies,Positive_Replies,Affiliate_Program_Joined_Or_Applied,Affiliate_Tags_Saved,Top_Source,Main_Learning,Decision,Next_Action,Notes
2026-06-22,baseline_before_send,1,0,0,0,0,0,Pinterest,"Assets/leads/copy are ready; publishing and outreach remain gated.","continue_prepare","Publish one social proof post or approve/send batch 1.","Baseline only. Do not treat as market signal because no outreach has been sent."
2026-06-22,public_url_reachability_check,1,0,0,0,0,0,Pinterest,"Public homepage, affiliate program page, Wishees profile invite, live Pinterest pin, and YouTube channel all returned HTTP 200 from local reachability check.","continue_prepare","Finish one manual publishing step or approve first outreach batch.","Reachability proves targets are online, not that social posts have traffic or conversions."
2026-06-22,first_outreach_batch_sent,2,5,0,0,0,0,Wishees growth mailbox,"All five first-send outreach contacts were handled: four by direct email from growth@wishees.com and one by contact form using growth@wishees.com.","monitor_replies","Check growth@wishees.com inbox and logs daily; follow up on 2026-06-27 only if no reply and no bounce.","Pinterest Pin 2 URL captured: https://de.pinterest.com/pin/1082834304184160094. Sent/submitted leads: The Childhood Collective, Ali / My Kids Made Me Buy It, Caitlin Kruse / The Mama Notes, Pjs and Paint, The Mint Chip Mama."
2026-06-22,youtube_short_1_published,3,5,0,0,0,0,YouTube,"YouTube Short 1 was uploaded and published public; Studio checks completed with no issues found.","monitor_replies_and_social","Monitor YouTube Short views/clicks and growth@wishees.com replies before scaling the next batch.","Live Short: https://youtube.com/shorts/pykkekN6fZs. Title: Stop guessing birthday gifts."
2026-06-22,tiktok_video_1_published,4,5,0,0,0,0,TikTok,"TikTok profile was rebranded enough for first proof point and Video 1 was published with privacy Everyone; public URL returned HTTP 200.","monitor_replies_and_social","Monitor TikTok views plus growth@wishees.com replies before sending batch 2.","Live TikTok: https://www.tiktok.com/@wishees_growth/video/7654324811610492182. Caption duplication noted in Studio; do not scale TikTok captions until checked."
2026-06-22,first_measurement_pass_after_publish_and_send,4,5,0,0,0,0,TikTok,"Early awareness exists but no conversion signal yet: TikTok Video 1 showed 25 views, YouTube Short 1 showed 7 views, Pinterest analytics is enabled but has not enough data, mailbox has no external replies/bounces, and Wishees affiliate requests still show only the two older June 20 approved requests.","wait_for_signal_before_scaling","Monitor until first reply/conversion or 2026-06-27 follow-up window; check TikTok caption rendering before Video 2 and avoid batch 2 until signal is clearer.","Wishees current week showed 1 link opened, 0 shares created, 0 connections, 0 gift reservations, and 0 repeat sharers. Product clicks total 14, latest clicks predate the campaign actions, so do not attribute them to this push."
2026-06-22,second_live_recheck_after_first_measurement,4,5,0,0,0,0,Pinterest,"Live recheck found no new attributable conversion signal: affiliate requests still show only the two June 20 approved requests; Wishees statistics and product clicks are unchanged; Pinterest Pin 1 and Pin 2 still show dashes for stats; YouTube Short and TikTok video remain publicly reachable. The Wishees mailbox page now says no mailbox is assigned in the current view-only account, so reply/bounce status cannot be verified from this browser state.","keep_monitoring_do_not_scale","Restore/confirm growth mailbox access for reply checks, then recheck replies before any batch 2 send. Keep TikTok Video 2 paused until caption duplication is corrected.","TikTok public metadata still shows duplicated hashtags in the description. Pinterest Pin 1 and Pin 2 both show 0 near the pin action area and dashes for real-time estimates. Product clicks remain 1-14 of 14 with latest entries at 2026-06-22T08:30:50.400Z and 08:26:09.392Z, before this campaign push."
2026-06-22,third_live_recheck_mailbox_still_unassigned,4,5,0,0,0,0,TikTok,"Third in-app-browser live recheck could not verify fresh replies because that Wishees mailbox page said no mailbox is assigned. Affiliate requests remain unchanged at two June 20 approved requests; Wishees weekly stats remain 1 link opened, 0 shares, 0 connections, 0 reservations; product clicks remain 14 total with no newer campaign-attributable click. Public posts are reachable, but Pinterest stats are still dashes, YouTube shows 0 visible likes, and TikTok still shows duplicated hashtags.","superseded_by_chrome_mailbox_check","Use the active Chrome owner mailbox for reply/bounce checks before any batch 2 outreach.","This in-app-browser mailbox blocker was later resolved operationally by checking the active Chrome owner session, where growth@wishees.com is selected."
2026-06-22,chrome_mailbox_verified_no_replies,4,5,0,0,0,0,Wishees growth mailbox,"Active Chrome has the owner mailbox view with growth@wishees.com selected. All four direct-email outreach threads are visible and outbound-only: Childhood Collective, The Mama Notes, Pjs and Paint, and The Mint Chip Mama. No replies or bounces are visible in those thread panels. The contact-form submission to Ali / My Kids Made Me Buy It cannot be verified from the Wishees mailbox because it was submitted through their external contact form.","keep_monitoring_do_not_scale","Continue monitoring replies; do not send batch 2 until a reply/conversion signal appears or the scheduled 2026-06-27 follow-up decision point.","This resolves the in-app mailbox visibility blocker by using the active Chrome owner session. It does not change conversion status: replies remain 0, positive replies 0, affiliate requests attributable 0, affiliate tags saved 0."
2026-06-22,fourth_measurement_tiktok_views_up_no_conversion,4,5,0,0,0,0,TikTok,"Fresh read-only measurement: Chrome mailbox shows the four direct-email outreach threads are still outbound-only with no visible replies or bounces; affiliate requests remain two old June 20 approved requests; Wishees statistics remain 1 current-week link open with 0 shares, 0 connections, 0 reservations; product clicks remain 14 total with no newer campaign-attributable click. TikTok Studio shows Video 1 rose to 95 views, 0 likes, 0 comments. Public YouTube, TikTok, and Pinterest URLs return HTTP 200; Pinterest Pin 2 still shows dashes for stats.","keep_monitoring_enrich_channels","Do not send batch 2 yet. Best safe action remains publishing Pinterest Pin 3 when approved, while watching whether TikTok views turn into comments/clicks/replies.","TikTok awareness improved from 25 to 95 views, but duplicated hashtags are still visible and there is no conversion signal yet."
